id	total	mutual	mutualT	single	singleT
15877392	43	29	1	14	0
40157690	18	15	6	3	0
68461382	35	10	0	25	2
96982362	15	11	8	4	2
41974295	11	9	4	2	1
62661738	13	13	7	0	0
44625387	1532	1358	198	174	22
34752463	69	30	8	39	11
17325610	30	16	3	14	6
206522799	76	35	7	41	10
14388669	264	251	63	13	3
47363766	14	10	0	4	1
33011320	19	19	4	0	0
62692990	41	14	2	27	2
112170345	30	24	8	6	0
15903150	33	22	3	11	5
18129784	21	13	3	8	1
39755988	34	21	6	13	7
18583564	64	37	10	27	6
26277450	24	19	4	5	2
17169854	20	9	5	11	1
75077089	20	12	2	8	4
36965103	38	32	6	6	2
156514552	21	14	1	7	2
27142275	16	12	0	4	1
79599260	73	42	9	31	4
259761542	22	21	2	1	0
33917600	113	102	12	11	0
18094716	54	26	7	28	4
191207337	148	129	22	19	0
16190442	31	14	3	17	5
14210323	111	111	11	0	0
184986878	18	17	1	1	0
62647554	48	18	7	30	7
229278767	50	42	4	8	1
47162958	14	10	5	4	3
203407884	42	17	6	25	5
23003275	24	11	1	13	4
14405444	17	9	2	8	3
15941343	14	14	2	0	0
102842648	215	163	36	52	4
36646214	44	19	2	25	2
33588660	44	24	3	20	4
65129095	18	16	3	2	1
82154967	32	18	9	14	4
54396291	43	22	10	21	5
211551088	554	508	104	46	10
20569006	92	20	4	72	16
62678184	26	23	2	3	1
278750054	79	55	3	24	2
256717608	36	10	0	26	1
48433855	15	12	2	3	1
200157280	22	14	5	8	3
29506599	22	8	3	14	6
16371006	22	15	6	7	3
17085009	19	15	5	4	2
22850364	11	10	4	1	0
138526050	37	15	4	22	6
14125053	46	39	11	7	3
119935455	40	26	7	14	3
115351266	15	15	2	0	0
208873324	28	26	9	2	0
292042555	44	15	2	29	6
43171711	37	34	9	3	0
211895406	69	29	4	40	2
43132686	111	42	18	69	25
99146390	13	10	5	3	1
63577504	26	24	3	2	0
22794922	190	170	15	20	6
23443550	53	48	9	5	2
14101572	179	127	38	52	16
53310722	17	11	6	6	3
29234804	12	8	1	4	3
48748710	71	36	5	35	7
220585603	150	147	27	3	0
29099632	26	19	15	7	3
17169891	25	10	2	15	2
276233907	34	15	6	19	6
40946843	47	47	4	0	0
73302010	23	10	4	13	4
15676408	20	10	4	10	4
55283392	13	9	4	4	1
162980411	92	89	8	3	1
26465563	27	10	2	17	2
16748164	38	33	14	5	2
20569035	23	15	3	8	1
79599214	25	24	1	1	0
226920224	63	7	1	56	1
26265033	76	37	17	39	10
120803283	31	21	0	10	1
52157006	37	21	5	16	3
9545002	28	20	8	8	3
86133512	27	15	5	12	1
9276022	62	56	15	6	1
33681263	76	44	1	32	8
123895731	18	10	2	8	0
25281665	20	14	3	6	1
64654006	61	33	9	28	7
14125032	34	26	10	8	3
24287050	47	46	14	1	0
40946856	59	34	8	25	1
37605886	99	96	9	3	0
3106861	16	9	0	7	2
17325677	11	9	4	2	1
48433846	41	26	9	15	5
40005905	47	40	4	7	0
15653423	12	6	3	6	2
104247472	21	13	9	8	6
229981244	16	13	4	3	0
85717181	70	67	16	3	1
14293252	88	69	30	19	2
271781438	79	44	2	35	2
8954992	83	71	26	12	2
71098137	84	50	9	34	4
125142770	83	44	4	39	10
23710946	67	25	2	42	6
119818621	25	20	2	5	3
87851882	37	16	7	21	6
37730289	73	61	10	12	3
16629711	77	39	9	38	8
26767354	24	9	4	15	8
15888350	410	401	54	9	2
16748236	77	34	5	43	8
16020654	60	41	10	19	4
39381267	13	11	3	2	1
26633023	58	31	5	27	2
56872256	64	16	1	48	7
41455240	1830	990	192	840	196
13563542	83	72	4	11	0
20591838	36	27	3	9	2
289059333	24	17	2	7	1
222295323	146	107	6	39	3
76818460	58	42	8	16	2
23165988	60	53	8	7	0
168710055	18	15	2	3	0
27461959	41	24	2	17	2
256683618	27	13	6	14	11
32400117	29	18	3	11	1
25327535	27	13	4	14	6
18964182	11	7	3	4	0
17150441	31	28	9	3	2
17514479	101	78	14	23	8
15982342	83	77	15	6	0
198953161	43	22	9	21	10
14277847	74	67	25	7	6
26195128	81	64	10	17	1
127984917	36	20	2	16	3
34769275	43	37	5	6	1
16415603	83	48	12	35	10
12499512	1911	955	190	956	145
15660322	88	69	22	19	6
71732163	22	11	1	11	0
67253401	30	20	6	10	3
181658850	128	126	16	2	0
22818123	23	11	0	12	2
25113724	11	8	6	3	1
147816149	16	6	4	10	7
22204857	68	41	13	27	9
11204972	35	25	8	10	2
105683531	35	23	6	12	4
115153599	24	15	6	9	3
22818119	12	10	4	2	0
106800773	487	485	60	2	0
82093321	29	15	5	14	3
169754476	348	339	26	9	1
151883819	33	29	4	4	1
104879055	21	14	1	7	1
79548577	14	8	0	6	1
19542624	20	12	3	8	4
24741717	26	8	0	18	3
15865902	63	50	22	13	4
97494121	218	175	16	43	10
14796366	58	25	9	33	18
22053015	26	13	4	13	6
96137094	14	11	2	3	1
34372139	17	13	2	4	0
4446861	12	10	2	2	0
30995451	59	28	10	31	7
29410648	36	19	3	17	0
25461027	11	9	2	2	1
63577715	31	19	2	12	2
30486914	525	248	78	277	28
21896961	87	48	17	39	17
18178655	256	221	36	35	6
20479551	37	20	5	17	5
33238828	26	14	1	12	3
37679488	22	19	12	3	0
188916113	43	13	2	30	12
24967374	13	11	3	2	1
82702958	74	74	19	0	0
185535118	28	11	3	17	1
208672995	53	28	8	25	4
54031544	340	23	1	317	13
16020618	26	14	8	12	5
14171622	49	45	12	4	0
14714968	73	39	12	34	11
70536348	33	11	1	22	11
14572389	33	25	6	8	1
96455482	26	16	3	10	4
133431900	18	15	4	3	2
228509475	50	11	1	39	4
139877810	85	83	7	2	0
7442632	20	13	5	7	1
155816957	18	14	7	4	2
29322585	97	34	7	63	12
113677785	23	10	3	13	4
7945542	13	9	5	4	1
222986871	14	12	3	2	0
24770486	12	8	1	4	1
103300876	13	12	5	1	1
38616721	23	20	3	3	0
14944471	1091	246	53	845	47
122182949	18	8	3	10	4
85985569	82	74	12	8	2
42826891	28	22	8	6	2
116886181	37	16	8	21	9
19694296	23	10	4	13	3
14944459	12	12	3	0	0
29268797	12	9	6	3	3
161221959	267	244	7	23	2
94813400	35	31	2	4	0
35048626	19	10	1	9	5
17150476	70	36	15	34	16
62750059	95	66	12	29	3
36995367	20	19	5	1	0
816952	90	66	20	24	8
81197826	30	26	2	4	2
32226457	12	8	1	4	2
18313342	278	217	36	61	11
31246666	139	108	19	31	5
40597084	85	41	6	44	1
8541272	136	115	10	21	6
263245488	16	12	1	4	2
121219197	27	14	5	13	2
52163013	15	9	1	6	1
118511128	22	11	5	11	7
203172786	22	10	4	12	1
107823361	40	10	0	30	9
44761814	58	27	4	31	4
14098610	15	9	4	6	1
236657131	65	46	5	19	5
124200076	24	19	6	5	4
3266791	1213	239	27	974	73
54334093	13	5	1	8	1
223506058	43	39	9	4	2
285800245	324	54	8	270	21
14802362	25	12	2	13	5
81489175	176	168	18	8	1
61827161	27	19	5	8	2
1121591	12	6	1	6	0
22513500	19	16	4	3	2
18997671	27	20	8	7	4
22188678	65	59	17	6	0
23660013	60	49	17	11	5
32130632	54	46	16	8	4
106014265	33	14	2	19	2
16353113	17	8	3	9	2
18104516	471	404	62	67	4
71954201	38	15	0	23	9
115075950	67	62	5	5	0
107168209	11	7	5	4	1
97973102	60	35	16	25	8
139913915	28	14	2	14	3
164079022	40	39	4	1	1
150334831	33	28	14	5	0
22802917	177	134	14	43	0
53213719	26	12	1	14	2
61599680	16	11	1	5	0
43690620	15	7	3	8	4
31423929	23	23	5	0	0
117857350	66	56	12	10	0
82434798	27	23	2	4	0
13485972	27	18	9	9	4
15865964	31	11	2	20	3
102872875	26	21	2	5	3
65182310	16	12	3	4	1
14634291	915	365	26	550	21
103403900	199	143	1	56	7
17068244	52	25	9	27	11
73574442	36	13	0	23	5
21025508	583	562	75	21	3
49876377	31	26	6	5	1
16724779	40	21	6	19	10
118624630	57	53	12	4	0
110679081	56	53	3	3	1
60650285	14	12	2	2	0
55990898	13	8	2	5	3
21703499	55	32	15	23	10
96605200	220	169	23	51	13
95698024	12	10	1	2	1
116861957	24	24	10	0	0
9079802	18	12	5	6	1
54642315	17	9	2	8	1
121898491	124	113	21	11	2
184978692	66	29	4	37	10
174501739	45	42	5	3	0
14673840	143	123	28	20	4
28365519	18	13	7	5	1
8414332	14	12	4	2	0
180837502	25	10	3	15	9
21343574	43	27	6	16	6
213658113	15	10	4	5	1
66456148	46	39	3	7	0
42263725	62	30	6	32	8
103089790	62	33	12	29	12
25372782	38	12	5	26	1
25002822	544	240	15	304	18
41683419	14	8	5	6	4
16088171	92	58	17	34	6
94249619	11	9	1	2	2
17400250	15	9	2	6	2
88719983	14	3	2	11	6
16415670	14	12	5	2	1
55924394	15	7	2	8	2
17514411	17	16	2	1	0
44407173	49	32	4	17	1
50704498	48	39	3	9	0
23846401	12	1	1	11	0
755113	118	71	21	47	6
16724753	41	20	5	21	5
133148039	20	11	5	9	5
67657785	33	13	3	20	11
16415652	39	29	8	10	3
27477132	15	8	1	7	4
48403577	29	16	2	13	4
34951530	39	30	16	9	4
14861973	56	31	6	25	5
13485922	14	11	3	3	1
118462994	29	25	4	4	1
155426427	64	58	5	6	1
20606395	54	48	3	6	1
54785050	39	39	8	0	0
23102522	84	45	9	39	7
755103	1185	1130	172	55	13
288001835	80	74	6	6	2
44148789	12	9	5	3	1
16822114	60	56	10	4	0
25545914	3409	3344	483	65	10
55629427	17	16	8	1	0
18350619	35	28	9	7	1
225437974	317	200	8	117	7
102502093	18	14	7	4	3
89130525	12	12	6	0	0
55576282	1271	1177	148	94	9
103118689	49	15	6	34	10
19174198	381	356	41	25	1
2252111	18	9	3	9	2
15982308	25	17	6	8	1
272601760	78	53	5	25	2
169988080	29	11	3	18	6
224495218	124	122	18	2	1
45874140	13	8	3	5	1
15888388	63	50	13	13	2
14052615	37	19	3	18	1
16415651	23	20	1	3	0
6870352	29	21	8	8	5
15702076	18	17	2	1	0
18566535	121	105	13	16	3
31133117	11	9	3	2	0
191573677	59	23	16	36	23
20937751	49	21	4	28	4
17048277	31	28	9	3	0
26482139	13	12	1	1	0
7918672	53	47	15	6	2
14529515	40	16	4	24	10
26248463	27	10	2	17	4
149413936	21	10	7	11	6
52597899	98	39	5	59	19
124209858	98	88	6	10	2
55666316	35	19	9	16	8
78330655	14	11	3	3	1
15888358	29	11	3	18	9
135265470	59	44	10	15	2
68190393	34	13	1	21	3
256247760	18	11	2	7	1
16300179	56	55	11	1	0
58236430	14	12	1	2	0
32416075	27	14	3	13	6
163587876	15	13	2	2	0
110829300	33	25	13	8	4
257944684	45	40	9	5	1
160594726	34	15	1	19	3
15826695	44	33	8	11	4
15517948	13	7	1	6	0
